20,20
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , java        , java        , java        , java        , java        , java        , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , java        , .           , text_wire   , .           , .           , .           , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , java        , .           , .           , .           , is          , .           , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , java        , java        , java        , java        , java        , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , java        , tile        , tile        , tile        , .           , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , java        , tile        , tile+win         , tile        , .           , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .
.           , .           , .           , .           , java        , tile        , tile        , tile        , .           , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , java        , java        , java        , java        , java        , java        , java        , java        , java        , java        , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , text_git    , .           , java        , .           , text_java   , .           , .           , .           , java        , .           , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , is          , .           , java        , .           , is          , .           , git         , .           , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , you         , .           , java        , .           , stop        , .           , .           , .           , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , java        , java        , java        , java        , java        , java        , java        , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           
